Chiave;CHIAVE
Errori.Titolo;ERRORI.TITOLO
Errori.Errore di sistema;ERRORI.ERRORE_DI_SISTEMA
Errori.Errore offline;ERRORI.ERRORE_OFFLINE
Errori.Errore non autorizzato;ERRORI.ERRORE_NON_AUTORIZZATO
Errori.Errore estensione;ERRORI.ERRORE_ESTENSIONE
Avviso.Titolo;AVVISO.TITOLO
Menu principale.Amministrazione;MENU_PRINCIPALE.AMMINISTRAZIONE
Menu principale.Delibere;MENU_PRINCIPALE.DELIBERE
Menu principale.Posizioni;MENU_PRINCIPALE.POSIZIONI
Menu principale.Homepage;MENU_PRINCIPALE.HOMEPAGE
Menu principale.Portfolio management;MENU_PRINCIPALE.PORTFOLIO_MANAGEMENT
Menu utente.Dati utente loggato;MENU_UTENTE.DATI_UTENTE_LOGGATO
Menu utente.Help;MENU_UTENTE.HELP
Menu utente.Logout;MENU_UTENTE.LOGOUT
Sezione filtri.Titolo;SEZIONE_FILTRI.TITOLO
Sezione filtri.Ripristina default;SEZIONE_FILTRI.RIPRISTINA_DEFAULT
Sezione filtri.Applica filtri;SEZIONE_FILTRI.APPLICA_FILTRI
Sezione filtri.Placeholder.Tutti;SEZIONE_FILTRI.PLACEHOLDER.TUTTI
Sezione filtri.Placeholder.Da;SEZIONE_FILTRI.PLACEHOLDER.DA
Sezione filtri.Placeholder.A;SEZIONE_FILTRI.PLACEHOLDER.A
Dati Utente.Titolo;DATI_UTENTE.TITOLO
Dati Utente.Titolo secondario;DATI_UTENTE.TITOLO_SECONDARIO
Dati Utente.Elenco.Descrizione utente ;DATI_UTENTE.ELENCO.DESCRIZIONE_UTENTE
Dati Utente.Elenco.Ruoli;DATI_UTENTE.ELENCO.RUOLI
Dati Utente.Elenco.Unita organizzativa ;DATI_UTENTE.ELENCO.UNITA_ORGANIZZATIVA
Dati Utente.Elenco.Email;DATI_UTENTE.ELENCO.EMAIL
Dati Utente.Elenco.Gruppo;DATI_UTENTE.ELENCO.GRUPPO
Lista posizioni.titolo.lista posizioni;LISTA_POSIZIONI.TITOLO.LISTA_POSIZIONI
Lista posizioni.azioni.Apri dettaglio posizione;LISTA_POSIZIONI.AZIONI.APRI_DETTAGLIO_POSIZIONE
Lista posizioni.azioni.Ordinamento colonne;LISTA_POSIZIONI.AZIONI.ORDINAMENTO_COLONNE
Lista posizioni.elenco.filtri.Denominazione;LISTA_POSIZIONI.ELENCO.FILTRI.DENOMINAZIONE
Lista posizioni.elenco.filtri.GBV Tot;LISTA_POSIZIONI.ELENCO.FILTRI.GBV_TOT
Lista posizioni.elenco.filtri.Gruppo economico;LISTA_POSIZIONI.ELENCO.FILTRI.GRUPPO_ECONOMICO
Lista posizioni.elenco.filtri.Industry;LISTA_POSIZIONI.ELENCO.FILTRI.INDUSTRY
Lista posizioni.elenco.filtri.NDG controparte;LISTA_POSIZIONI.ELENCO.FILTRI.NDG_CONTROPARTE
Lista posizioni.elenco.filtri.NDG di provenienza;LISTA_POSIZIONI.ELENCO.FILTRI.NDG_DI_PROVENIENZA
Lista posizioni.elenco.filtri.Presa in carico;LISTA_POSIZIONI.ELENCO.FILTRI.PRESA_IN_CARICO
Lista posizioni.elenco.filtri.Stato Rischio SEC;LISTA_POSIZIONI.ELENCO.FILTRI.STATO_RISCHIO_SEC
Lista posizioni.elenco.filtri.Stato posizione;LISTA_POSIZIONI.ELENCO.FILTRI.STATO_POSIZIONE
